Year,Police_Department,Officers_per_10K_Population,Officers,Total_Employees_per_10K_Population,Total_Employees,Population
2016,"Pleasant Hill, California",11.7,41,16.2,57,35042.73504
2016,"Gardena, California",15.6,95,19.6,119,60897.4359
2016,"Hanford, California",9.5,53,13.8,77,55789.47368
2016,"Los Gatos, California",12.0,37,17.4,54,30833.33333
2016,"Mountain View, California",10.5,86,15.8,129,81904.7619
2016,"National City, California",14.0,86,19.5,120,61428.57143
2016,"Colton, California",8.3,46,13.1,72,55421.68675
2016,"Desert Hot Springs, California",8.4,24,10.5,30,28571.42857
2016,"Oxnard, California",10.9,227,16.1,337,208256.8807
2016,"Los Altos, California",8.7,27,13.5,42,31034.48276
2016,"San Pablo, California",15.0,46,21.8,67,30666.66667
2016,"El Cerrito, California",15.9,40,18.6,47,25157.2327
2016,"Davis, California",8.8,60,13.4,91,68181.81818
2016,"Indio, California",7.1,63,11.1,99,88732.39437
2016,"Lincoln, California",4.2,20,5.7,27,47619.04762
2016,"Monterey, California",15.1,43,21.4,61,28476.82119
2016,"Santa Ana, California",9.2,310,15.5,523,336956.5217
2016,"Oakland, California",17.6,750,24.6,"1,046",426136.3636
2016,"Merced, California",10.7,89,15.0,125,83177.57009
2016,"Brawley, California",13.8,36,19.2,50,26086.95652
2016,"Azusa, California",11.3,57,18.7,94,50442.47788
2016,"Chula Vista, California",8.3,225,11.3,305,271084.3373
2016,"South San Francisco, California",11.8,80,16.2,110,67796.61017
2016,"Lemoore, California",12.0,31,14.7,38,25833.33333
2016,"Roseville, California",9.4,125,13.8,183,132978.7234
2016,"Palm Springs, California",18.4,88,26.5,127,47826.08696
2016,"Sunnyvale, California",13.6,209,18.0,278,153676.4706
2016,"Fremont, California",7.6,180,12.0,282,236842.1053
2016,"San Francisco, California",26.4,"2,296",33.2,"2,892",869696.9697
2016,"Palo Alto, California",11.7,79,20.4,137,67521.36752
2016,"Rialto, California",10.1,105,13.7,142,103960.396
2016,"Pleasanton, California",9.5,77,13.5,110,81052.63158
2016,"Calexico, California",5.7,23,8.7,35,40350.87719
2016,"Costa Mesa, California",9.8,112,15.1,172,114285.7143
2016,"Escondido, California",10.2,156,13.8,211,152941.1765
2016,"Daly City, California",9.3,100,12.4,133,107526.8817
2016,"Rocklin, California",8.9,55,12.7,79,61797.75281
2016,"Concord, California",11.5,150,15.5,201,130434.7826
2016,"Seaside, California",10.6,37,13.2,46,34905.66038
2016,"San Jose, California",9.0,939,13.0,"1,352",1043333.333
2016,"San Ramon, California",8.5,65,10.5,81,76470.58824
2016,"El Cajon, California",11.6,121,17.1,179,104310.3448
2016,"Elk Grove, California",7.5,128,12.4,211,170666.6667
2016,"La Mesa, California",11.2,68,16.0,97,60714.28571
2016,"Antioch, California",8.5,95,11.0,123,111764.7059
2016,"Menlo Park, California",13.9,47,19.9,67,33812.94964
2016,"Turlock, California",10.7,78,16.0,117,72897.19626
2016,"Fontana, California",8.8,185,13.1,275,210227.2727
2016,"Foster City, California",10.6,36,14.7,50,33962.26415
2016,"Beaumont, California",8.4,38,12.4,56,45238.09524
2016,"San Fernando, California",10.7,27,16.3,41,25233.64486
2016,"South Gate, California",8.2,79,12.2,118,96341.46341
2016,"Hercules, California",7.8,20,8.6,22,25641.02564
2016,"Los Banos, California",9.8,37,16.4,62,37755.10204
2016,"Lodi, California",10.3,67,14.9,97,65048.54369
2016,"Orange, California",10.1,143,15.0,213,141584.1584
2016,"Fullerton, California",9.9,141,14.8,210,142424.2424
2016,"Fountain Valley, California",10.3,59,14.0,80,57281.5534
2016,"Burbank, California",14.6,154,22.1,234,105479.4521
2016,"Tustin, California",10.7,87,16.0,131,81308.41121
2016,"Berkeley, California",14.3,175,21.4,263,122377.6224
2016,"Citrus Heights, California",10.0,88,15.3,134,88000.0
2016,"Delano, California",9.5,50,13.1,69,52631.57895
2016,"Simi Valley, California",9.6,122,13.9,177,127083.3333
2016,"Livermore, California",9.9,89,14.9,133,89898.9899
2016,"Folsom, California",9.1,70,12.3,95,76923.07692
2016,"Tracy, California",9.7,85,14.3,126,87628.86598
2016,"Covina, California",12.0,59,17.7,87,49166.66667
2016,"Bell Gardens, California",11.5,50,16.6,72,43478.26087
2016,"Central Marin, California",11.6,41,13.0,46,35344.82759
2016,"Reedley, California",10.5,27,15.5,40,25714.28571
2016,"Montebello, California",10.3,66,15.4,99,64077.6699
2016,"Walnut Creek, California",12.2,85,16.9,118,69672.13115
2016,"San Gabriel, California",12.1,49,15.8,64,40495.86777
2016,"Torrance, California",14.0,208,20.7,309,148571.4286
2016,"Porterville, California",10.6,60,15.2,86,56603.77358
2016,"Newark, California",12.0,55,16.8,77,45833.33333
2016,"Vacaville, California",10.1,99,15.4,150,98019.80198
2016,"El Monte, California",9.2,108,13.0,152,117391.3043
2016,"Union City, California",9.9,75,13.8,104,75757.57576
2016,"Novato, California",10.0,56,14.2,80,56000.0
2016,"San Mateo, California",10.6,111,14.1,148,104716.9811
2016,"Pittsburg, California",10.9,77,13.6,96,70642.20183
2016,"Pomona, California",10.0,154,16.9,261,154000.0
2016,"Bakersfield, California",10.3,390,14.0,530,378640.7767
2016,"Suisun, California",7.1,21,11.1,33,29577.46479
2016,"Belmont, California",10.9,30,16.0,44,27522.93578
2016,"Monrovia, California",13.6,51,21.8,82,37500.0
2016,"Bell, California",9.1,33,12.4,45,36263.73626
2016,"San Rafael, California",10.9,65,14.5,86,59633.02752
2016,"Madera, California",9.3,60,12.0,78,64516.12903
