year,geo_name,geo,soc_name,soc,num_ppl,num_ppl_moe,num_ppl_rca,avg_wage,avg_wage_moe
2014,"California","04000US06","Computer operators","439011",11818,972.833,0.915651,43065.1,2818.96
2014,"California","04000US06","Data entry keyers","439021",43446,1911.39,1.01628,30271.2,1176.26
2014,"California","04000US06","Word processors & typists","439022",38394,1851.1,1.09687,32438.2,952.662
2014,"California","04000US06","Insurance claims & policy processing clerks","439041",27247,1600.57,0.722836,42520.7,1487.26
2014,"California","04000US06","Mail clerks & mail machine operators, except postal service","439051",9837,946.742,0.927579,26870.1,1725.7
2014,"California","04000US06","Office clerks, general","439061",174863,3796.51,1.26382,30933.0,549.504
2014,"California","04000US06","Office machine operators, except computer","439071",3751,590.597,0.873598,25814.2,2512.06
2014,"California","04000US06","Proofreaders & copy markers","439081",1006,286.619,0.80246,28765.7,7045.75
2014,"California","04000US06","Statistical assistants","439111",2859,456.766,1.10055,44831.1,4030.54
2014,"California","04000US06","Firstline supervisors of farming, fishing, & forestry workers","451011",13959,1041.82,2.25206,40900.5,2063.19
2014,"California","04000US06","Agricultural inspectors","452011",2366,436.836,1.26568,50578.8,4828.29
2014,"California","04000US06","Graders & sorters, agricultural products","452041",23070,1500.8,3.27011,14984.2,513.149
2014,"California","04000US06","Fishing & hunting workers","453000",1468,367.611,0.616645,33157.3,5623.78
2014,"California","04000US06","Forest & conservation workers","454011",1843,416.596,1.10411,29397.0,4432.19
2014,"California","04000US06","Logging workers","454020",2416,473.998,0.40783,32239.0,4807.26
2014,"California","04000US06","Firstline supervisors of construction trades & extraction workers","471011",63858,2317.0,0.827823,67320.7,1745.05
2014,"California","04000US06","Boilermakers","472011",691,259.114,0.375498,54714.9,8616.64
2014,"California","04000US06","Carpenters","472031",87944,2759.21,0.906426,36687.2,867.695
2014,"California","04000US06","Carpet, floor, & tile installers & finishers","472040",17353,1262.89,1.32428,28367.5,1724.83
2014,"California","04000US06","Cement masons, concrete finishers, & terrazzo workers","472050",4817,672.851,0.827115,34522.3,2452.81
2014,"California","04000US06","Construction laborers","472061",176613,3721.53,1.18167,31610.7,525.921
2014,"California","04000US06","Paving, surfacing, & tamping equipment operators","472071",980,321.094,0.672615,41388.1,4508.26
2014,"California","04000US06","Drywall installers, ceiling tile installers, & tapers","472080",12682,1155.93,1.03368,32105.7,1750.5
2014,"California","04000US06","Electricians","472111",62762,2603.74,0.812093,51521.9,1239.88
2014,"California","04000US06","Glaziers","472121",4973,717.688,1.18512,43105.3,3911.34
2014,"California","04000US06","Insulation workers","472130",2488,509.131,0.520112,45132.2,6051.26
2014,"California","04000US06","Painters & paperhangers","472140",59074,2917.4,1.25462,29538.6,966.989
2014,"California","04000US06","Pipelayers, plumbers, pipefitters, & steamfitters","472150",47308,2048.04,0.907139,44926.4,1536.68
2014,"California","04000US06","Plasterers & stucco masons","472161",5829,1009.92,1.95885,28763.1,2261.41
2014,"California","04000US06","Roofers","472181",16549,1487.7,0.803561,31619.2,2739.72
2014,"California","04000US06","Sheet metal workers","472211",10471,986.561,0.777891,45569.0,2299.84
2014,"California","04000US06","Structural iron & steel workers","472221",5947,721.735,0.921762,48256.4,4249.42
2014,"California","04000US06","Helpers, construction trades","473010",4866,573.545,0.85471,27888.3,2968.96
2014,"California","04000US06","Construction & building inspectors","474011",9780,892.396,1.03801,67840.1,4018.21
2014,"California","04000US06","Elevator installers & repairers","474021",2230,358.76,0.812807,87447.2,7197.54
2014,"California","04000US06","Fence erectors","474031",2340,541.771,0.891281,34360.6,3972.42
2014,"California","04000US06","Hazardous materials removal workers","474041",3323,488.502,0.919831,48618.7,4291.67
2014,"California","04000US06","Highway maintenance workers","474051",5179,671.89,0.45566,46771.1,4293.73
2014,"California","04000US06","Railtrack laying & maintenance equipment operators","474061",394,173.141,0.295961,45945.5,7598.64
2014,"California","04000US06","Earth drillers, except oil & gas","475021",2088,530.589,0.698408,53379.9,8174.55
2014,"California","04000US06","Explosives workers, ordnance handling experts, & blasters","475031",2303,451.52,1.09534,42588.0,5927.08
2014,"California","04000US06","Mining machine operators","475040",2185,542.166,0.286374,63066.1,7903.88
2014,"California","04000US06","Firstline supervisors of mechanics, installers, & repairers","491011",24406,1391.16,0.765469,66913.1,1869.03
2014,"California","04000US06","Computer, automated teller, & office machine repairers","492011",25727,1513.04,1.00688,45081.0,1806.58
2014,"California","04000US06","Radio & telecommunications equipment installers & repairers","492020",18060,1213.48,0.958463,55569.0,2268.43
2014,"California","04000US06","Avionics technicians","492091",2617,483.728,0.920708,45887.3,4738.81
2014,"California","04000US06","Electric motor, power tool, & related repairers","492092",3100,573.718,1.0084,46682.7,4415.5
2014,"California","04000US06","Electronic equipment installers & repairers, motor vehicles","492096",1699,460.176,1.18787,30854.5,3858.8
2014,"California","04000US06","Electronic home entertainment equipment installers & repairers","492097",5602,610.114,1.08394,37501.8,3380.4
2014,"California","04000US06","Security & fire alarm systems installers","492098",6098,894.554,1.09718,43398.9,3213.06
2014,"California","04000US06","Aircraft mechanics & service technicians","493011",19418,1427.87,0.941322,52459.7,1881.54
2014,"California","04000US06","Automotive body & related repairers","493021",14812,1266.25,0.998405,36816.8,3018.52
2014,"California","04000US06","Automotive glass installers & repairers","493022",1635,421.405,0.880545,31561.5,5365.39
2014,"California","04000US06","Automotive service technicians & mechanics","493023",85377,2424.36,1.02166,37956.4,810.99
2014,"California","04000US06","Bus & truck mechanics & diesel engine specialists","493031",22128,1403.32,0.672946,47983.3,1816.95
2014,"California","04000US06","Heavy vehicle & mobile equipment service technicians & mechanics","493040",18680,1116.73,0.809053,48123.3,1840.06
2014,"California","04000US06","Small engine mechanics","493050",2857,582.427,0.666353,34316.1,3392.79
2014,"California","04000US06","Miscellaneous vehicle & mobile equipment mechanics, installers, & repairers","493090",10070,1020.55,1.12361,23887.8,1674.55
2014,"California","04000US06","Control & valve installers & repairers","499010",1855,360.118,0.818231,53031.4,4764.74
2014,"California","04000US06","Heating, air conditioning, & refrigeration mechanics & installers","499021",24122,1444.14,0.67679,48630.8,1796.28
2014,"California","04000US06","Home appliance repairers","499031",3591,537.622,1.04013,39214.8,3371.92
2014,"California","04000US06","Maintenance workers, machinery","499043",2080,421.387,0.595343,46079.3,5138.7
2014,"California","04000US06","Millwrights","499044",1637,329.28,0.312148,55805.6,7625.83
2014,"California","04000US06","Electrical powerline installers & repairers","499051",7020,826.823,0.556618,84646.8,6972.37
2014,"California","04000US06","Telecommunications line installers & repairers","499052",17967,1167.24,1.06995,54107.1,1940.26
2014,"California","04000US06","Precision instrument & equipment repairers","499060",6291,696.486,0.973777,52869.3,3541.36
2014,"California","04000US06","Maintenance & repair workers, general","499071",54284,2599.73,0.90373,42610.1,1053.05
2014,"California","04000US06","Coin, vending, & amusement machine servicers & repairers","499091",2834,528.791,0.684596,37263.4,4654.42
