Year,Police_Department,Officers_per_10K_Population,Officers,Total_Employees_per_10K_Population,Total_Employees,Population
2016,"Newark, New Jersey",39.5,"1,113",49.1,"1,383",281772.1519
2016,"Richmond, Virginia",30.6,680,36.1,802,222222.2222
2016,"Doral, Florida",20.2,118,27.1,158,58415.84158
2016,"Carbondale, Illinois",25.4,67,31.5,83,26377.95276
2016,"Lehi, Utah",7.7,47,8.7,53,61038.96104
2016,"Boulder, Colorado",16.1,176,24.5,267,109316.7702
2016,"Flower Mound, Texas",11.2,81,16.7,121,72321.42857
2016,"Gainesville, Georgia",24.9,98,28.2,111,39357.42972
2016,"Parkland, Florida",12.7,40,14.3,45,31496.06299
2016,"Livonia, Michigan",15.6,147,19.7,186,94230.76923
2016,"Fort Pierce, Florida",24,108,29.6,133,45000
2016,"Novi, Michigan",10.4,62,14.1,84,59615.38462
2016,"Mount Pleasant Town, New York",15.2,41,17.5,47,26973.68421
2016,"Santa Monica, California",21.7,204,39.8,374,94009.21659
2016,"Shoreline, Washington",9.5,53,13.1,73,55789.47368
2016,"Stratford, Connecticut",18.9,100,20.2,107,52910.05291
2016,"Woodstock, Georgia",16,50,17.6,55,31250
2016,"Pinellas Park, Florida",19.4,101,23.2,121,52061.85567
2016,"Sparks, Nevada",11.3,110,16,156,97345.13274
2016,"San Luis Obispo, California",11.5,55,16.3,78,47826.08696
2016,"Braintree, Massachusetts",20.4,77,24.4,92,37745.09804
2016,"Northern York Regional, Pennsylvania",7.1,49,7.7,53,69014.08451
2016,"Plum, Pennsylvania",8.7,24,10.9,30,27586.2069
2016,"Yukon, Oklahoma",16.2,43,23,61,26543.20988
2016,"Indianapolis, Indiana",18.6,"1,612",20.8,"1,806",866666.6667
2016,"El Centro, California",10.9,48,16.1,71,44036.69725
2016,"Bowling Green, Kentucky",18,116,23.4,151,64444.44444
2016,"Charlottesville, Virginia",26.4,124,33.4,157,46969.69697
2016,"Fairfield, California",10,114,14.8,169,114000
2016,"Daphne, Alabama",19.6,50,28.9,74,25510.20408
2016,"Fort Smith, Arkansas",15.9,141,21.3,189,88679.24528
2016,"Oceanside, California",11.5,204,15.7,278,177391.3043
2016,"Saugus, Massachusetts",20.6,58,25.6,72,28155.33981
2016,"McMinnville, Oregon",10.8,37,12.6,43,34259.25926
2016,"Cranston, Rhode Island",18.1,147,21.7,176,81215.46961
2016,"Rocky Mount, North Carolina",28.9,160,36.4,202,55363.3218
2016,"Salisbury, Maryland",26.9,90,34.1,114,33457.24907
