year,geo_name,geo,birthplace_name,birthplace,num_over5,num_over5_moe,num_over5_rca
2014,"California","04000US06","South Central Asia - Not Specified","253",3429.0,1817.13,1.71164
2014,"California","04000US06","Other Asia - Not Specified","254",4287.0,1811.02,1.39739
2014,"California","04000US06","Bermuda","300",1082.0,677.339,0.552239
2014,"California","04000US06","Canada","301",150454.0,7508.54,1.33873
2014,"California","04000US06","Mexico","303",4361416.0,46382.2,3.01106
2014,"California","04000US06","Belize","310",18371.0,3850.55,2.8181
2014,"California","04000US06","Costa Rica","311",12242.0,2510.39,1.1461
2014,"California","04000US06","El Salvador","312",428762.0,17875.0,2.65055
2014,"California","04000US06","Guatemala","313",267727.0,16081.6,2.37586
2014,"California","04000US06","Honduras","314",61737.0,7769.18,0.884443
2014,"California","04000US06","Nicaragua","315",64210.0,7002.0,2.11054
2014,"California","04000US06","Panama","316",17281.0,3679.89,0.900681
2014,"California","04000US06","Antigua & Barbuda","321",627.0,779.112,0.26227
2014,"California","04000US06","Bahamas","323",676.0,537.965,0.156214
2014,"California","04000US06","Barbados","324",373.0,282.232,0.0627585
2014,"California","04000US06","Cuba","327",30782.0,4124.55,0.212282
2014,"California","04000US06","Dominica","328",325.0,304.057,0.0861138
2014,"California","04000US06","Dominican Republic","329",4478.0,1487.45,0.0358745
2014,"California","04000US06","Grenada","330",480.0,422.278,0.108067
2014,"California","04000US06","Haiti","332",6481.0,3227.04,0.0845229
2014,"California","04000US06","Jamaica","333",15267.0,3094.04,0.170741
2014,"California","04000US06","St. Lucia","339",347.0,386.068,0.126329
2014,"California","04000US06","St. Vincent & the Grenadines","340",1251.0,671.852,0.398969
2014,"California","04000US06","Trinidad & Tobago","341",6146.0,1509.99,0.232499
2014,"California","04000US06","West Indies","343",1295.0,1210.51,0.373304
2014,"California","04000US06","Caribbean- Not Specified","344",882.0,472.062,0.176769
2014,"California","04000US06","Argentina","360",31378.0,4519.87,1.35906
2014,"California","04000US06","Bolivia","361",8410.0,2688.43,0.892359
2014,"California","04000US06","Brazil","362",35252.0,4257.76,0.814186
2014,"California","04000US06","Chile","363",14930.0,2811.86,1.20828
2014,"California","04000US06","Colombia","364",44911.0,6223.86,0.515622
2014,"California","04000US06","Ecuador","365",26911.0,5127.61,0.51548
2014,"California","04000US06","Guyana","368",4030.0,1435.28,0.118955
2014,"California","04000US06","Paraguay","369",2191.0,1138.1,0.733111
2014,"California","04000US06","Peru","370",77079.0,7945.44,1.38969
2014,"California","04000US06","Uruguay","372",3209.0,1363.44,0.494495
