Year	Police Department	Officers per 10K Population	Officers	Total Employees per 10K Population	Total Employees	
2016	"Coral Springs, Florida"	14.7	193	22.1	290	
2016	"Glendale, Arizona"	17.2	419	22.3	542	
2016	"Kalamazoo, Michigan"	28.3	216	33.9	259	
2016	"Bartlesville, Oklahoma"	16.6	61	22.6	83	
2016	"Genoa Township, Ohio"	9.1	24	9.8	26	
2016	"Fort Lee, New Jersey"	24.5	90	29.9	110	
2016	"Egg Harbor Township, New Jersey"	19.3	85	25	110	
2016	"Perth Amboy, New Jersey"	22.6	119	27.3	144	
2016	"Kaysville, Utah"	8.4	26	9.3	29	
2016	"Deptford Township, New Jersey"	21.1	64	22.7	69	
2016	"Holland, Michigan"	16.8	57	19.2	65	
2016	"Vernon Hills, Illinois"	15.8	42	26.7	71	
2016	"Somerville, Massachusetts"	15.7	127	17.6	142	
2016	"Thornton, Colorado"	13.2	180	18	245	
2016	"Hackensack, New Jersey"	26.5	119	30.7	138	
2016	"Guilderland Town, New York"	10.2	35	14	48	
2016	"Benicia, California"	11.6	33	17.3	49	
2016	"Niagara Falls, New York"	32.3	157	36.6	178	
2016	"Tyler, Texas"	18.1	190	22.7	238	
2016	"Pueblo, Colorado"	17.7	195	22.7	250	
2016	"Dearborn Heights, Michigan"	14.9	83	17	95	
2016	"Bridgeport, Connecticut"	25.4	376	29.2	433	
2016	"Franklin, Wisconsin"	16.2	59	20.7	75	
2016	"Roswell, Georgia"	14.7	141	20.5	196	
2016	"Derry, New Hampshire"	15.3	51	19.2	64	
2016	"Auburn, Washington"	13.8	108	16.3	128	
2016	"Cibolo, Texas"	11.4	32	13.2	37	
2016	"Oakland, California"	17.6	750	24.6	"1,046"	
2016	"McMinnville, Oregon"	10.8	37	12.6	43	
2016	"West Des Moines, Iowa"	9.6	63	11.9	78	
2016	"Tracy, California"	9.7	85	14.3	126	
2016	"Vallejo, California"	9	110	12.3	150	
2016	"Temple, Texas"	19.6	144	24.2	178	
2016	"Lynn, Massachusetts"	19.6	181	21.6	200	
2016	"Hanover Park, Illinois"	14.6	56	21.1	81	
2016	"Richmond, Kentucky"	13.8	47	18	61	
2016	"Gulfport, Mississippi"	21.1	153	28.5	207	
2016	"Paterson, New Jersey"	26	383	32.5	478	
2016	"Hialeah, Florida"	10.9	260	13.5	324	
2016	"Elyria, Ohio"	14.7	79	17.5	94	
2016	"Corona, California"	9.5	158	13.5	225	
2016	"Brighton, Colorado"	16.4	63	22.9	88	
2016	"Grandview, Missouri"	20.1	51	23.6	60	
2016	"Bloomington, Minnesota"	13.5	118	17	148	
2016	"Longview, Texas"	20.8	172	22.5	186	
2016	"Fair Lawn, New Jersey"	17.5	59	21.4	72	
2016	"Colton, California"	8.3	46	13.1	72	
2016	"Newburgh Town, New York"	14.9	46	18.1	56	
2016	"Waxahachie, Texas"	17.3	59	22.3	76	
2016	"Weymouth, Massachusetts"	16.4	92	19.2	108	
2016	"Baldwin Park, California"	8.4	65	12.7	98	
2016	"Smyrna, Georgia"	15.7	90	22.2	127	
2016	"Flagstaff, Arizona"	14.3	102	21.1	150	
2016	"Brentwood, Tennessee"	13.6	58	17.1	73	
2016	"New Berlin, Wisconsin"	16.8	67	19.6	78	
2016	"Saginaw, Michigan"	10.8	53	12.5	61	
2016	"Old Bridge Township, New Jersey"	13.4	90	17.4	117	
2016	"White Bear Lake, Minnesota"	11	28	14.5	37	
2016	"Chandler, Arizona"	12.4	329	18.7	497	
2016	"Charleston, West Virginia"	33	163	37.8	187	
2016	"Minnetonka, Minnesota"	10	52	13.3	69	
2016	"Woonsocket, Rhode Island"	22.2	92	27.5	114	
2016	"Belmont, California"	10.9	30	16	44	
2016	"Fayetteville, North Carolina"	21.9	442	29.7	601	
2016	"El Cerrito, California"	15.9	40	18.6	47	
2016	"Newark, New Jersey"	39.5	"1,113"	49.1	"1,383"	
2016	"Ontario, California"	14.7	254	19.6	339	
2016	"Elk Grove, California"	7.5	128	12.4	211	
2016	"Hayward, California"	12	194	19.2	310	
2016	"Hillsborough Township, New Jersey"	13	52	16.2	65	
2016	"Greece Town, New York"	10.2	99	10.8	105	
2016	"Salisbury, North Carolina"	20.2	69	22.3	76	
2016	"Bowie, Maryland"	10.7	63	13.6	80	
2016	"Sandy Springs, Georgia"	11.8	127	13.4	144	
2016	"West Bend, Wisconsin"	16.7	53	22	70	
2016	"Bethel Park, Pennsylvania"	11.8	38	13.7	44	
2016	"University City, Missouri"	19.4	68	27.4	96	
2016	"Franklin, Tennessee"	17.1	128	18.6	139	
2016	"Newark, California"	12	55	16.8	77	
2016	"Wausau, Wisconsin"	18.4	72	20.7	81	
2016	"Fort Collins, Colorado"	12.5	206	17.7	292	
2016	"Evanston, Illinois"	21.9	166	30	227	
2016	"Cabot, Arkansas"	16.2	42	20.4	53	
2016	"Kenosha, Wisconsin"	19.9	199	20.8	208	
2016	"Lewisville, Texas"	14.1	149	20.7	219	
2016	"Woodland, California"	10.3	61	12.7	75	
2016	"Pensacola, Florida"	26.2	140	37.4	200	
2016	"Manchester, New Hampshire"	20.9	231	26.1	288	
2016	"Mansfield, Ohio"	17.6	82	24.9	116	
2016	"South San Francisco, California"	11.8	80	16.2	110	
2016	"Keizer, Oregon"	9.4	36	11.3	43	
2016	"West Bloomfield Township, Michigan"	10.6	70	15.6	103	
2016	"Manhattan Beach, California"	18.4	66	29.2	105	
2016	"Morgantown, West Virginia"	20.9	65	24.4	76	
2016	"Richland, Washington"	11.2	62	13.7	76	
2016	"Sherman, Texas"	14.8	61	20.2	83	
2016	"Monroeville, Pennsylvania"	15.6	44	18.8	53	
2016	"Moscow, Idaho"	13.8	35	17	43	
2016	"La Vergne, Tennessee"	15	53	18.7	66	
2016	"Suisun City, California"	7.1	21	11.1	33	
2016	"Muskogee, Oklahoma"	23.5	90	29	111	
2016	"Baton Rouge, Louisiana"	28.1	641	35.6	814	
2016	"Haverhill, Massachusetts"	14.6	92	16.5	104	
2016	"Bloomington, Illinois"	15.9	125	20.5	161	
2016	"Arvada, Colorado"	13.5	158	18.3	215	
2016	"Clearfield, Utah"	10.1	31	13.6	42	
2016	"Garden Grove, California"	9	159	12.4	218	
2016	"Stevens Point, Wisconsin"	16.5	44	18.1	48	
2016	"Mobile, Alabama"	19.8	496	29.4	736	
2016	"Springfield, Missouri"	20.4	344	24.8	418	
2016	"Gladstone, Missouri"	15.8	43	21.4	58	
2016	"Mount Juliet, Tennessee"	16.6	55	21.2	70	
2016	"Palo Alto, California"	11.7	79	20.4	137	
2016	"Orangetown Town, New York"	21.6	82	22.7	86	
2016	"Santa Paula, California"	9.7	30	12.3	38	
2016	"Oklahoma City, Oklahoma"	17.3	"1,113"	21.5	"1,381"	
2016	"The Colony, Texas"	13.5	58	20.7	89	
2016	"Ridgewood, New Jersey"	16.8	43	18	46	
2016	"Hickory, North Carolina"	25.5	103	34.1	138	
2016	"Bozeman, Montana"	13.9	62	15.6	70	
2016	"Dartmouth, Massachusetts"	20.2	70	25.4	88	
2016	"Dracut, Massachusetts"	12.3	39	14.2	45	
2016	"Glendale, California"	11.4	232	16.2	328	
2016	"Park Ridge, Illinois"	14.3	54	17.5	66	
2016	"Bountiful, Utah"	8.2	36	12	53	
2016	"Spokane Valley, Washington"	10.5	101	10.6	102	
2016	"Abington Township, Pennsylvania"	16.5	92	20.5	114	
2016	"Pekin, Illinois"	16.3	54	19.4	64	
2016	"Newton, Massachusetts"	16.7	149	21.9	195	
2016	"Petaluma, California"	9.5	58	13.5	82	
2016	"Albany, Georgia"	21.8	162	25	186	
2016	"Sparks, Nevada"	11.3	110	16	156	
2016	"Kingsport, Tennessee"	21.3	113	28.8	153	
2016	"Lawrence Township, New Jersey"	17.6	58	18.8	62	
2016	"South Gate, California"	8.2	79	12.2	118	
2016	"Littleton, Colorado"	14.8	70	20.1	95	
2016	"Wheaton, Illinois"	12.3	66	15.2	82	
2016	"Rome, Georgia"	24.5	89	26.7	97	
2016	"Meridian, Mississippi"	19.8	78	25.9	102	
2016	"Penn Hills, Pennsylvania"	12	50	12.7	53	
2016	"Florence, Alabama"	26.1	105	32.4	130	
2016	"Lawrenceville, Georgia"	22.6	70	30.4	94	
2016	"Rock Hill, South Carolina"	20.7	150	26.7	194	
2016	"Greenfield, Wisconsin"	15.2	57	20.1	75	
2016	"Westfield, New Jersey"	19.1	58	23.3	71	
2016	"Falmouth, Massachusetts"	17.5	55	18.8	59	
2016	"South Kingstown, Rhode Island"	16.8	52	22.7	70	
2016	"Sheboygan, Wisconsin"	16.8	82	20.7	101	
2016	"Hercules, California"	7.8	20	8.6	22	
2016	"Galloway Township, New Jersey"	15.8	59	21.7	81	
2016	"Randolph Township, New Jersey"	13.9	36	15.8	41	
2016	"Woodburn, Oregon"	13.4	34	16.5	42	
2016	"Meriden, Connecticut"	18.9	113	20.9	125	
2016	"Galt, California"	12.9	33	19.1	49	
2016	"Monroe Township, Middlesex County, New Jersey"	12.2	55	16	72	
2016	"Coventry, Rhode Island"	15.7	55	19.7	69	
2016	"Lakewood, Colorado"	17	263	27	417	
2016	"Enterprise, Alabama"	18.4	52	24.8	70	
2016	"Wyoming, Michigan"	11.5	87	13.4	102	
2016	"Lewiston, Idaho"	12.6	41	19.3	63	
2016	"Newington, Connecticut"	16.7	51	20.9	64	
2016	"Englewood, New Jersey"	29.3	84	38.4	110	
2016	"Groton Town, Connecticut"	19.7	59	21.4	64	
2016	"Danbury, Connecticut"	17.1	146	17.7	151	
2016	"Balch Springs, Texas"	14.1	36	20.8	53	
2016	"Hendersonville, Tennessee"	18.4	105	23.2	132	
2016	"Passaic, New Jersey"	21.7	154	25.4	180	
2016	"Kannapolis, North Carolina"	16.9	79	22.6	106	
2016	"Bedford, Texas"	15.3	76	25.3	126	
2016	"Dubuque, Iowa"	17.1	101	18.3	108	
2016	"Myrtle Beach, South Carolina"	68.7	219	94.2	300	
2016	"Reading, Massachusetts"	16.3	42	21.3	55	
2016	"Natick, Massachusetts"	15.2	56	18.8	69	
2016	"East Orange, New Jersey"	31.6	205	40.4	262	
2016	"Durham, North Carolina"	18.6	490	25.7	679	
2016	"Barberton, Ohio"	16	42	16.8	44	
2016	"Valparaiso, Indiana"	15.2	50	16.8	55	
2016	"Glastonbury, Connecticut"	16.4	57	21.6	75	
2016	"Manteca, California"	7.7	59	11.2	86	
2016	"Ardmore, Oklahoma"	20.1	51	27.7	70	
2016	"Merced, California"	10.7	89	15	125	
2016	"Wallingford, Connecticut"	15.4	69	20.1	90	
2016	"Shakopee, Minnesota"	11.6	47	13.8	56	
2016	"Hobbs, New Mexico"	23.9	94	32.5	128	
2016	"Puyallup, Washington"	13.9	56	19.2	77	
2016	"Annapolis, Maryland"	27.5	109	38.5	153	
2016	"Findlay, Ohio"	15.6	64	19.9	82	
2016	"Galveston, Texas"	28.2	143	35.3	179	
2016	"Blaine, Minnesota"	9.3	59	11.1	70	
2016	"Gainesville, Georgia"	24.9	98	28.2	111	
2016	"Allen, Texas"	11.9	120	17.7	179	
2016	"Asheville, North Carolina"	22.3	200	29.4	263	
2016	"Northglenn, Colorado"	15	60	19.8	79	
2016	"El Cajon, California"	11.6	121	17.1	179	
2016	"Roseville, Michigan"	14.5	69	15.1	72	
2016	"Great Falls, Montana"	14.7	88	21.8	130	
2016	"Midland, Michigan"	10.9	46	11.4	48	
2016	"Amarillo, Texas"	17.1	343	20.5	411	
2016	"Manchester Township, New Jersey"	15.6	68	19.8	86	
2016	"Exeter Township, Berks County, Pennsylvania"	11.2	29	12	31	
2016	"La Habra, California"	11	69	15.8	99	
2016	"Beaumont, Texas"	21.5	254	26.8	317	
2016	"Bay City, Michigan"	14.5	49	15.7	53	
2016	"Beavercreek, Ohio"	10.1	47	13.1	61	
2016	"Redding, California"	10.7	98	14.3	131	
2016	"Portage, Indiana"	18.2	67	20.2	74	
2016	"South Pasadena, California"	13.3	35	18.7	49	
2016	"Laredo, Texas"	18.2	473	21.1	546	
2016	"Ocean Township, Monmouth County, New Jersey"	22.5	61	27.3	74	
2016	"Morristown, Tennessee"	28.7	85	31.1	92	
2016	"Whitehall Township, Pennsylvania"	16.4	45	18.2	50	
2016	"Gastonia, North Carolina"	22.6	170	25.6	192	
2016	"Mundelein, Illinois"	16.1	51	22.1	70	
2016	"Commerce City, Colorado"	17.3	96	21.7	120	
2016	"Bullhead City, Arizona"	18	71	28.7	113	
2016	"Northville Township, Michigan"	9.3	27	13.2	38	
2016	"Duluth, Minnesota"	17.3	149	21.3	183	
2016	"De Kalb, Illinois"	14.4	62	17.9	77	
2016	"Burleson, Texas"	13.5	61	18.2	82	
2016	"Peoria, Arizona"	10.5	184	15.7	275	
2016	"Lafayette, Colorado"	13.4	38	16.9	48	
2016	"North Brunswick Township, New Jersey"	18.9	81	22.9	98	
2016	"Lower Paxton Township, Pennsylvania"	12.1	59	13.6	66	
2016	"Lake Charles, Louisiana"	23.8	183	24.2	186	
2016	"Bloomfield, New Jersey"	25.1	121	30.3	146	
2016	"Valdosta, Georgia"	24.2	135	28.1	157	
2016	"Riverhead Town, New York"	25.1	85	30.5	103	
2016	"Paramus, New Jersey"	32.3	87	40.1	108	
2016	"Anderson, South Carolina"	33.1	91	46.5	128	
2016	"Logan, Utah"	10.8	55	16.5	84	
2016	"Burlingame, California"	11.7	36	18.2	56	
2016	"Gillette, Wyoming"	15.4	51	23.5	78	
2016	"Chelsea, Massachusetts"	27.4	110	29.7	119	
2016	"Cambridge, Massachusetts"	24.9	277	29	322	
2016	"Chapel Hill, North Carolina"	17.3	104	21.2	127	
2016	"Fall River, Massachusetts"	24.7	218	30	265	
2016	"Yuma, Arizona"	18	170	27.2	258	
2016	"San Mateo, California"	10.6	111	14.1	148	
2016	"Lacey, Washington"	10.6	50	12.3	58	
2016	"Kirkland, Washington"	10.6	94	14.7	130	
2016	"Springfield, Massachusetts"	27.2	419	33.9	523	
2016	"Evesham Township, New Jersey"	16.7	76	18.6	85	
2016	"Mount Prospect, Illinois"	15	82	18.6	102	
2016	"Wichita Falls, Texas"	19	199	27.1	284	
2016	"Pleasant Grove, Utah"	6.9	27	9	35	
2016	"Albany, New York"	34.1	336	43.9	433	
2016	"Salt Lake City, Utah"	22.4	435	27.9	542	
2016	"Pullman, Washington"	8.7	29	12	40	
2016	"Long Beach, New York"	20.2	68	25.3	85	
2016	"Renton, Washington"	11.5	117	14.3	146	
2016	"Knoxville, Tennessee"	20.2	377	24.9	465	
2016	"Cathedral City, California"	9	49	13.6	74	
2016	"Franklin Township, New Jersey"	15.6	104	18.6	124	
2016	"Needham, Massachusetts"	15	46	17.9	55	
2016	"Tucson, Arizona"	16.3	870	21.9	"1,168"	
2016	"Leander, Texas"	10.6	43	14.8	60	
2016	"Margate, Florida"	18.1	105	24.1	140	
2016	"Arlington Heights, Illinois"	14.2	108	17.9	136	
2016	"Toms River Township, New Jersey"	17.7	160	20.7	187	
2016	"Horsham Township, Pennsylvania"	15	40	17.6	47	
2016	"Hempstead Village, New York"	21.1	118	25.1	140	
2016	"West Covina, California"	8.5	93	14.3	156	
2016	"Menlo Park, California"	13.9	47	19.9	67	
2016	"Florissant, Missouri"	16.3	85	20.7	108	
2016	"Carrollton, Georgia"	23.7	63	28.6	76	
2016	"Antioch, California"	8.5	95	11	123	
2016	"Allentown, Pennsylvania"	18.2	220	19.9	240	
2016	"Washington Township, Gloucester County, New Jersey"	16.2	77	17.7	84	
2016	"Tallahassee, Florida"	19.4	372	22.8	437	
2016	"Shelby Township, Michigan"	8.4	66	10.8	85	
2016	"Rockwall, Texas"	18.4	80	23	100	
2016	"Cedar Hill, Texas"	13	64	17.7	87	
2016	"West Milford Township, New Jersey"	16.5	44	19.1	51	
2016	"Albany, Oregon"	11.6	61	16.9	89	
2016	"Newtown, Connecticut"	15.7	44	17.1	48	
2016	"Waukesha, Wisconsin"	16.3	118	20.8	150	
2016	"South Brunswick Township, New Jersey"	17.4	80	23.1	106	
2016	"Helena, Montana"	15.5	48	22.5	70	
2016	"Tacoma, Washington"	16	336	17.7	371	
2016	"Edwardsville, Illinois"	16.7	42	22.3	56	
2016	"Buffalo, New York"	26.9	693	35	900	
2016	"Greenville, North Carolina"	19.4	178	24.2	222	
2016	"Sierra Vista, Arizona"	16.3	70	21.9	94	
2016	"Montclair, New Jersey"	27.3	104	31.8	121	
2016	"Hobart, Indiana"	22	62	25.2	71	
2016	"Clermont, Florida"	19.6	65	21.4	71	
2016	"Lynnwood, Washington"	18.8	70	27.4	102	
2016	"Cape Coral, Florida"	12.3	221	17	306	
2016	"Clinton Township, Michigan"	9.3	93	10.1	102	
2016	"Danville, Virginia"	29.7	124	31.7	132	
2016	"Miami Township, Montgomery County, Ohio"	13	38	15.4	45	
2016	"Carlsbad, California"	9	103	13	150	
2016	"Iowa City, Iowa"	10.6	80	13.6	103	
2016	"Doral, Florida"	20.2	118	27.1	158	
2016	"Walnut Creek, California"	12.2	85	16.9	118	
2016	"Norwalk, Connecticut"	19.9	177	24.4	217	
2016	"Round Rock, Texas"	13.2	158	19	227	
2016	"Killeen, Texas"	17.6	252	24.6	353	
2016	"North Bergen Township, New Jersey"	19	120	20.6	130	
2016	"Long Branch, New Jersey"	26.5	82	33.3	103	
2016	"Rocklin, California"	8.9	55	12.7	79	
2016	"Manchester, Connecticut"	17.9	104	23.3	135	
2016	"Vineland, New Jersey"	21.7	132	25.8	157	
2016	"Miramar, Florida"	14.5	203	19.4	272	
2016	"Davie, Florida"	17.9	184	24.1	248	
2016	"Maricopa, Arizona"	13.1	65	17.3	86	
2016	"Goldsboro, North Carolina"	24.8	89	28.2	101	
2016	"San Jose, California"	9	939	13	"1,352"	
2016	"Bristol, Connecticut"	19.5	118	23.7	143	
2016	"Hanford, California"	9.5	53	13.8	77	
2016	"Henderson, Kentucky"	20.8	60	28	81	
2016	"Azusa, California"	11.3	57	18.7	94	
2016	"LaGrange, Georgia"	27.2	84	32.3	100	
2016	"Spanish Fork, Utah"	8.3	32	9.6	37	
2016	"Lower Merion Township, Pennsylvania"	22.5	131	25.1	146	
2016	"Topeka, Kansas"	22.2	282	26.3	334	
2016	"Columbia, Tennessee"	22.8	85	26.1	97	
2016	"Pomona, California"	10	154	16.9	261	
2016	"McCandless, Pennsylvania"	9.7	28	10.4	30	
2016	"Atlantic City, New Jersey"	70.9	278	101.3	397	
2016	"Moline, Illinois"	18.6	79	23	98	
2016	"Los Angeles, California"	24.6	"9,850"	31.7	"12,692"	
2016	"Folsom, California"	9.1	70	12.3	95	
2016	"Kenner, Louisiana"	24.9	167	34.5	232	
2016	"Rome, New York"	22.9	74	23.5	76	
2016	"Sun Prairie, Wisconsin"	15.8	52	20.9	69	
2016	"Houma, Louisiana"	23.5	81	28.5	98	
2016	"North Charleston, South Carolina"	29.6	327	35.7	394	
2016	"Marietta, Georgia"	23	137	29.4	175	
2016	"Pittsfield, Massachusetts"	22.3	96	26.5	114	
2016	"Lauderdale Lakes, Florida"	11.1	39	11.6	41	
2016	"Austin, Texas"	18.9	"1,807"	24.7	"2,361"	
2016	"Nutley Township, New Jersey"	25.8	74	30	86	
2016	"Stratford, Connecticut"	18.9	100	20.2	107	
2016	"Bristol, Tennessee"	25.9	69	33	88	
2016	"Pleasant Hill, California"	11.7	41	16.2	57	
2016	"Tamarac, Florida"	12.4	81	15.1	99	
2016	"Saratoga Springs, Utah"	11.4	31	15.1	41	
2016	"Bell, California"	9.1	33	12.4	45	
2016	"Milton, Georgia"	9.6	37	10.6	41	
2016	"Southgate, Michigan"	12.3	36	13.7	40	
2016	"Inglewood, California"	15.6	175	19.5	219	
2016	"Wheat Ridge, Colorado"	23.9	75	32.5	102	
2016	"Monroe, North Carolina"	23.4	82	27.2	95	
2016	"Bayonne, New Jersey"	27.3	182	42.6	284	
2016	"Mount Vernon, New York"	27.9	192	37.9	261	
2016	"Brownstown Township, Michigan"	10.4	32	12.6	39	
2016	"Pittsburg, California"	10.9	77	13.6	96	
2016	"Homestead, Florida"	16.5	112	22.5	152	
2016	"Conway, Arkansas"	19.1	126	25.1	166	
2016	"Beloit, Wisconsin"	17.6	65	20.9	77	
2016	"Quincy, Illinois"	17.2	70	20.3	83	
2016	"Buffalo Grove, Illinois"	15.2	63	17.8	74	
2016	"Hillsboro, Oregon"	12.7	133	17.7	185	
2016	"Thomasville, North Carolina"	24.3	66	26.6	72	
2016	"Long Beach, California"	16.9	806	24.6	"1,173"	
2016	"Wenatchee, Washington"	11.2	38	13.9	47	
2016	"Santa Maria, California"	10.5	111	15.6	166	
2016	"Northampton Township, Pennsylvania"	10.4	41	11.9	47	
2016	"Milwaukee, Wisconsin"	31.5	"1,889"	38.8	"2,328"	
2016	"Toledo, Ohio"	21.3	592	23.4	652	
2016	"Worcester, Massachusetts"	23.6	435	26.3	485	
2016	"Lexington, Massachusetts"	14	47	18.1	61	
2016	"Wilmington, North Carolina"	22.1	260	28.1	331	
2016	"Urbandale, Iowa"	11.3	51	13.1	59	
2016	"Maple Valley, Washington"	7.2	19	9.1	24	
2016	"Lufkin, Texas"	20.5	75	27.1	99	
2016	"Fitchburg, Massachusetts"	19.3	78	23.3	94	
2016	"Waco, Texas"	18	241	25	334	
2016	"Aiken, South Carolina"	27.9	86	37	114	
2016	"Concord, North Carolina"	18.6	166	21.7	194	
2016	"Yonkers, New York"	30.3	613	34.4	696	
2016	"Farmington Hills, Michigan"	12.2	100	16.8	137	
2016	"Milford, Connecticut"	21.6	116	25.7	138	
2016	"Fremont, California"	7.6	180	12	282	
2016	"Hoboken, New Jersey"	23.3	126	26.8	145	
2016	"Schertz, Texas"	13	51	18.4	72	
2016	"Frederick, Maryland"	21	148	26.5	186	
2016	"Las Vegas Metropolitan Police, Nevada"	20.9	"3,326"	30.5	"4,855"	
2016	"North Providence, Rhode Island"	18.7	61	24	78	
2016	"Bismarck, North Dakota"	15.7	115	19.8	145	
2016	"Porterville, California"	10.6	60	15.2	86	
2016	"Santa Fe, New Mexico"	19.6	166	25.2	213	
2016	"Minneapolis, Minnesota"	20.3	847	24.4	"1,018"	
2016	"Paso Robles, California"	9.7	31	13.8	44	
2016	"Coral Gables, Florida"	30.8	160	44.1	229	
2016	"White Lake Township, Michigan"	8.4	26	11.6	36	
2016	"Garden City, Michigan"	10.5	28	11.2	30	
2016	"Lower Makefield Township, Pennsylvania"	11.6	38	12.8	42	
2016	"Virginia Beach, Virginia"	17.2	779	21	951	
2016	"Fort Lauderdale, Florida"	28	508	36.5	662	
2016	"Evansville, Indiana"	23.4	281	25.4	305	
2016	"Sandusky, Ohio"	18.7	47	19.5	49	
2016	"Frankfort, Kentucky"	20.1	56	21.1	59	
2016	"Spartanburg, South Carolina"	30.2	115	36.2	138	
2016	"Colonie Town, New York"	13.9	111	18.7	150	
2016	"Urbana, Illinois"	12.7	54	16	68	
2016	"High Point, North Carolina"	19.9	222	24	268	
2016	"Florence, Arizona"	9.3	29	11.9	37	
2016	"Edison Township, New Jersey"	17.2	177	22	226	
2016	"Pocatello, Idaho"	16.2	88	23.3	127	
2016	"Milpitas, California"	10.6	85	13.6	109	
2016	"Shawnee, Oklahoma"	16.5	52	23.8	75	
2016	"Huntington Park, California"	8.5	51	14.4	86	
2016	"Fountain, Colorado"	18.1	51	22.1	62	
2016	"Berkeley, California"	14.3	175	21.4	263	
2016	"New London, Connecticut"	28.4	77	34	92	
2016	"Rexburg, Idaho"	11.4	32	14.2	40	
2016	"Springdale, Arkansas"	17.9	142	25.2	200	
2016	"Germantown, Tennessee"	25.4	100	31.3	123	
2016	"Los Gatos, California"	12	37	17.4	54	
2016	"Bradenton, Florida"	21.3	118	26.1	145	
2016	"Kansas City, Missouri"	28.3	"1,356"	39.2	"1,875"	
2016	"Grand Rapids, Michigan"	14	276	17	335	
2016	"Bethlehem, Pennsylvania"	19.8	148	19.8	148	
2016	"Douglasville, Georgia"	29.1	97	36.7	122	
2016	"Greenburgh Town, New York"	24.5	112	30.6	140	
2016	"Minot, North Dakota"	15.8	81	21.1	108	
2016	"Newport Beach, California"	16	140	26.1	228	
2016	"Mahwah Township, New Jersey"	19.6	52	22.6	60	
2016	"Utica, New York"	26.8	163	29.6	180	
2016	"Mercer Island, Washington"	12.1	31	13.7	35	
2016	"Ormond Beach, Florida"	14.8	61	19.8	82	
2016	"Bartlett, Tennessee"	20.4	120	26.3	155	
2016	"Union City, New Jersey"	23.4	162	35.9	249	
2016	"Flower Mound, Texas"	11.2	81	16.7	121	
2016	"Desert Hot Springs, California"	8.4	24	10.5	30	
2016	"Simi Valley, California"	9.6	122	13.9	177	
2016	"Stow, Ohio"	11.2	39	13.5	47	
2016	"Manassas, Virginia"	21.8	92	28.2	119	
2016	"Olympia, Washington"	13.1	67	18.6	95	
2016	"DeLand, Florida"	18.1	56	24	74	
2016	"Asheboro, North Carolina"	27.1	71	30.1	79	
2016	"North Little Rock, Arkansas"	26.4	178	31.9	215	
2016	"Deerfield Beach, Florida"	15.1	122	16.4	132	
2016	"Arlington, Massachusetts"	14.7	66	18.7	84	
2016	"Conroe, Texas"	16.6	118	22.8	162	
2016	"Mission, Texas"	17.5	148	22.9	193	
2016	"Chino, California"	12.3	107	18.3	159	
2016	"Battle Creek, Michigan"	17.9	109	20.5	125	
2016	"Lebanon, Tennessee"	23.8	74	29.9	93	
2016	"Menomonee Falls, Wisconsin"	15.7	57	20.2	73	
2016	"West Valley, Utah"	13.9	191	16.8	231	
2016	"Novato, California"	10	56	14.2	80	
2016	"North Miami, Florida"	18.1	114	25.4	160	
2016	"White Plains, New York"	32.5	191	34.2	201	
2016	"Wilson, North Carolina"	21.9	109	24.9	124	
2016	"Eau Claire, Wisconsin"	14.5	99	19.7	134	
2016	"Sunnyvale, California"	13.6	209	18	278	
2016	"Casper, Wyoming"	15.2	93	21	129	
2016	"Key West, Florida"	35.4	92	45.4	118	
2016	"Scottsdale, Arizona"	16.6	401	26.3	633	
2016	"Cheshire, Connecticut"	16.1	47	20.2	59	
2016	"Bloomfield Township, Michigan"	12.8	54	17.5	74	
2016	"Oxnard, California"	10.9	227	16.1	337	
2016	"Orem, Utah"	8.9	85	12.1	116	
2016	"Blacksburg, Virginia"	13.7	61	15.9	71	
2016	"Ankeny, Iowa"	9.1	54	10.5	62	
2016	"Newport News, Virginia"	22.6	410	30.1	547	
2016	"Delhi Township, Ohio"	10.1	30	10.8	32	
2016	"Spring Valley Village, New York"	15.5	51	17.7	58	
2016	"Upper Merion Township, Pennsylvania"	22.3	64	27.9	80	
2016	"Richardson, Texas"	13.7	155	21.9	248	
2016	"Warner Robins, Georgia"	14	104	19.6	146	
2016	"Houston, Texas"	22.2	"5,182"	28.4	"6,632"	
2016	"Statesboro, Georgia"	19.6	61	25.7	80	
2016	"Maplewood, Minnesota"	12.2	50	13.4	55	
2016	"Irvine, California"	8	213	11.3	301	
2016	"Bolingbrook, Illinois"	14.6	109	16.7	124	
2016	"Jacksonville, North Carolina"	17.2	115	21.4	143	
2016	"Downers Grove, Illinois"	14.2	71	19.6	98	
2016	"Middletown Township, New Jersey"	17	112	20.5	135	
2016	"Bowling Green, Ohio"	11.8	37	16.6	52	
2016	"Modesto, California"	10.1	214	14.1	300	
2016	"Paragould, Arkansas"	17	48	20.9	59	
2016	"Ridgefield, Connecticut"	16.6	42	18.9	48	
2016	"Goose Creek, South Carolina"	15.2	63	21.7	90	
2016	"East Haven, Connecticut"	18	52	19.4	56	
2016	"St. Cloud, Minnesota"	15.6	105	19.6	132	
2016	"Freehold Township, New Jersey"	18.2	65	19.3	69	
2016	"Indianapolis, Indiana"	18.6	"1,612"	20.8	"1,806"	
2016	"Williamsport, Pennsylvania"	17.5	51	18.9	55	
2016	"Poughkeepsie Town, New York"	20.4	80	23.2	91	
2016	"Mooresville, North Carolina"	21.7	79	26.9	98	
