Year	Police Department	Officers per 10K Population	Officers	Total Employees per 10K Population	Total Employees	
2016	"Parsippany-Troy Hills Township, New Jersey"	19.3	103	23.2	124	
2016	"Tempe, Arizona"	19.9	355	27.6	493	
2016	"Charleston, South Carolina"	31.8	430	39.2	530	
2016	"Grand Blanc Township, Michigan"	10.7	39	12.6	46	
2016	"Yuba City, California"	7.7	52	11.6	78	
2016	"Daly City, California"	9.3	100	12.4	133	
2016	"Cottage Grove, Minnesota"	11.3	41	13.3	48	
2016	"Hollister, California"	7.1	27	8.7	33	
2016	"Missoula, Montana"	14.5	104	18.1	130	
2016	"Friendswood, Texas"	14.7	58	19.8	78	
2016	"Brea, California"	14.4	61	22.4	95	
2016	"Freeport Village, New York"	22.6	98	26.5	115	
2016	"Plantation, Florida"	17.5	165	26.8	252	
2016	"Burnsville, Minnesota"	12	74	13.5	83	
2016	"Rochester, Minnesota"	12.1	137	17	193	
2016	"Melrose, Massachusetts"	16.7	47	16.7	47	
2016	"Salem, Massachusetts"	23.3	100	24.7	106	
2016	"Oak Park, Michigan"	16.4	49	20.4	61	
2016	"Indio, California"	7.1	63	11.1	99	
2016	"Union City, California"	9.9	75	13.8	104	
2016	"Malden, Massachusetts"	16.5	101	18.7	114	
2016	"Burton, Michigan"	14	40	15.1	43	
2016	"Springfield Township, Hamilton County, Ohio"	12.9	47	14.8	54	
2016	"Moorhead, Minnesota"	13.2	56	16.9	72	
2016	"Sarasota, Florida"	29.2	163	37.5	209	
2016	"Salem, Virginia"	24.4	62	33.5	85	
2016	"Farmers Branch, Texas"	20.3	68	29.8	100	
2016	"Post Falls, Idaho"	13.9	43	22.6	70	
2016	"Dania, Florida"	21.4	68	23.6	75	
2016	"Delano, California"	9.5	50	13.1	69	
2016	"Coeur d'Alene, Idaho"	16	80	19.5	98	
2016	"Gilbert, Arizona"	8.9	227	13.3	341	
2016	"Roseville, California"	9.4	125	13.8	183	
2016	"Coppell, Texas"	14.9	62	16.6	69	
2016	"Federal Way, Washington"	13.5	130	16.5	159	
2016	"Beaverton, Oregon"	13.7	134	17.5	171	
2016	"Wheeling, West Virginia"	24.7	68	28	77	
2016	"Riverside, California"	10.7	350	15.4	503	
2016	"El Monte, California"	9.2	108	13	152	
2016	"San Juan, Texas"	12.7	47	15.6	58	
2016	"Hammond, Indiana"	26.9	207	30.4	234	
2016	"Muskegon, Michigan"	19.2	74	21.3	82	
