year,geo_name,geo,university_name,university,grads_total
2013,"California","04000US06","De Anza College","113333",2060.0
2013,"California","04000US06","Marinello Schools of Beauty-Hemet","113397",834.0
2013,"California","04000US06","International School of Beauty Inc","113449",210.0
2013,"California","04000US06","Dell'Arte International School of Physical Theatre","113537",28.0
2013,"California","04000US06","College of the Desert","113573",871.0
2013,"California","04000US06","Design Institute of San Diego","113582",48.0
2013,"California","04000US06","Diablo Valley College","113634",2265.0
2013,"California","04000US06","Dominican University of California","113698",591.0
2013,"California","04000US06","Dominican School of Philosophy & Theology","113704",12.0
2013,"California","04000US06","East Los Angeles College","113856",3873.0
2013,"California","04000US06","Marinello Schools of Beauty-Santa Clara","113908",441.0
2013,"California","04000US06","El Camino Community College District","113980",2604.0
2013,"California","04000US06","Elegance International","114044",67.0
2013,"California","04000US06","Marinello Schools of Beauty-Burbank","114071",275.0
2013,"California","04000US06","Marinello Schools of Beauty-Moreno Valley","114080",218.0
2013,"California","04000US06","Emperor's College of Traditional Oriental Medicine","114114",50.0
2013,"California","04000US06","Empire College School of Business","114123",218.0
2013,"California","04000US06","Evergreen Valley College","114266",613.0
2013,"California","04000US06","Fashion Institute of Design & Merchandising-Los Angeles","114354",1990.0
2013,"California","04000US06","Fashion Institute of Design & Merchandising-San Francisco","114390",361.0
2013,"California","04000US06","Feather River Community College District","114433",248.0
2013,"California","04000US06","Federico Beauty Institute","114460",190.0
2013,"California","04000US06","Fielding Graduate University","114549",374.0
2013,"California","04000US06","Five Branches University","114585",110.0
2013,"California","04000US06","Hair California Beauty Academy","114628",38.0
2013,"California","04000US06","Foothill College","114716",1110.0
2013,"California","04000US06","Franciscan School of Theology","114734",9.0
2013,"California","04000US06","Fredrick and Charles Beauty College","114761",39.0
2013,"California","04000US06","Fresno City College","114789",1590.0
2013,"California","04000US06","Fresno Pacific University","114813",1084.0
2013,"California","04000US06","Fuller Theological Seminary in California","114840",820.0
2013,"California","04000US06","Fullerton College","114859",1544.0
2013,"California","04000US06","Gavilan College","114938",763.0
2013,"California","04000US06","Gemological Institute of America-Carlsbad","114947",275.0
2013,"California","04000US06","Glendale Community College","115001",703.0
2013,"California","04000US06","Glendale Career College","115010",204.0
2013,"California","04000US06","Golden Gate University-San Francisco","115083",1336.0
2013,"California","04000US06","Golden West College","115126",1925.0
2013,"California","04000US06","Graduate Theological Union","115214",57.0
2013,"California","04000US06","Grossmont College","115296",2106.0
2013,"California","04000US06","Salon Success Academy-San Bernardino","115357",18.0
2013,"California","04000US06","Hartnell College","115393",936.0
2013,"California","04000US06","Harvey Mudd College","115409",192.0
2013,"California","04000US06","Heald College-Rancho Cordova","115454",507.0
2013,"California","04000US06","Heald College-Fresno","115472",674.0
2013,"California","04000US06","Heald College-San Jose","115490",619.0
2013,"California","04000US06","Heald College-San Francisco","115515",397.0
2013,"California","04000US06","Heald College-Concord","115533",556.0
2013,"California","04000US06","Hilltop Beauty School","115658",78.0
2013,"California","04000US06","Holy Names University","115728",323.0
2013,"California","04000US06","Pacifica Graduate Institute","115746",262.0
2013,"California","04000US06","Humboldt State University","115755",1736.0
2013,"California","04000US06","Humphreys College-Stockton and Modesto Campuses","115773",261.0
2013,"California","04000US06","Imperial Valley College","115861",1171.0
2013,"California","04000US06","Institute for Business and Technology","115931",211.0
2013,"California","04000US06","Interior Designers Institute","116226",262.0
2013,"California","04000US06","Toni & Guy Hairdressing Academy-Santa Monica","116350",173.0
2013,"California","04000US06","Irvine Valley College","116439",2005.0
2013,"California","04000US06","ITT Technical Institute-National City","116466",576.0
2013,"California","04000US06","ITT Technical Institute-San Dimas","116475",237.0
2013,"California","04000US06","ITT Technical Institute-Orange","116484",407.0
2013,"California","04000US06","Bellus Academy-El Cajon","116563",126.0
2013,"California","04000US06","Joe Blasco Makeup Artist Training Center","116660",69.0
2013,"California","04000US06","John F Kennedy University","116712",448.0
2013,"California","04000US06","American Jewish University","116846",64.0
2013,"California","04000US06","Reedley College","117052",1114.0
2013,"California","04000US06","Life Pacific College","117104",94.0
2013,"California","04000US06","The Art Institute of California-Argosy University San Diego","117113",524.0
2013,"California","04000US06","University of La Verne","117140",2374.0
2013,"California","04000US06","Laguna College of Art and Design","117168",86.0
2013,"California","04000US06","Lake Tahoe Community College","117195",199.0
2013,"California","04000US06","Lancaster Beauty School","117238",58.0
2013,"California","04000US06","Laney College","117247",685.0
2013,"California","04000US06","Lassen Community College","117274",323.0
2013,"California","04000US06","Life Chiropractic College West","117520",59.0
2013,"California","04000US06","Lincoln University","117557",118.0
2013,"California","04000US06","Southern California Seminary","117575",41.0
2013,"California","04000US06","La Sierra University","117627",403.0
2013,"California","04000US06","Loma Linda University","117636",1425.0
2013,"California","04000US06","Long Beach City College","117645",3665.0
2013,"California","04000US06","Southern California University of Health Sciences","117672",122.0
2013,"California","04000US06","Los Angeles Harbor College","117690",613.0
2013,"California","04000US06","Los Angeles Pierce College","117706",1649.0
2013,"California","04000US06","Los Angeles Southwest College","117715",314.0
2013,"California","04000US06","Los Angeles Trade Technical College","117724",1472.0
2013,"California","04000US06","Los Angeles Valley College","117733",1417.0
2013,"California","04000US06","The Master's College and Seminary","117751",372.0
2013,"California","04000US06","Los Angeles City College","117788",974.0
2013,"California","04000US06","Los Angeles County College of Nursing and Allied Health","117803",94.0
2013,"California","04000US06","Los Angeles Mission College","117867",1011.0
2013,"California","04000US06","Los Medanos College","117894",1368.0
2013,"California","04000US06","The Art Institute of California-Argosy University San Francisco","117928",281.0
2013,"California","04000US06","Loyola Marymount University","117946",2759.0
2013,"California","04000US06","Lu Ross Academy","117955",170.0
2013,"California","04000US06","Manchester Beauty College","118116",40.0
2013,"California","04000US06","Tulare Beauty College","118125",16.0
2013,"California","04000US06","Lyles Bakersfield College of Beauty","118134",53.0
2013,"California","04000US06","Lyles Fresno College of Beauty","118143",38.0
2013,"California","04000US06","Lytles Redwood Empire Beauty College Inc","118161",102.0
2013,"California","04000US06","MTI Business College Inc","118189",74.0
2013,"California","04000US06","MTI College","118198",642.0
2013,"California","04000US06","Kaplan College-Sacramento","118259",425.0
2013,"California","04000US06","Kaplan College-San Diego","118277",835.0
2013,"California","04000US06","Kaplan College-Vista","118286",670.0
2013,"California","04000US06","College of Marin","118347",421.0
2013,"California","04000US06","Marinello Schools of Beauty-Los Angeles","118356",1570.0
2013,"California","04000US06","Marymount California University","118541",123.0
2013,"California","04000US06","Mendocino College","118684",344.0
2013,"California","04000US06","Menlo College","118693",139.0
2013,"California","04000US06","Merced College","118718",939.0
2013,"California","04000US06","Merritt College","118772",420.0
2013,"California","04000US06","Mills College","118888",596.0
2013,"California","04000US06","MiraCosta College","118912",2443.0
2013,"California","04000US06","Marinello Schools of Beauty-San Francisco","118921",325.0
2013,"California","04000US06","Mission College","118930",811.0
2013,"California","04000US06","Modern Beauty Academy","118958",19.0
2013,"California","04000US06","Kaplan College-North Hollywood","118967",616.0
2013,"California","04000US06","Modesto Junior College","118976",1807.0
2013,"California","04000US06","Moler Barber College","118994",52.0
2013,"California","04000US06","Monterey Institute of International Studies","119058",369.0
2013,"California","04000US06","Monterey Peninsula College","119067",521.0
2013,"California","04000US06","Moorpark College","119137",1910.0
2013,"California","04000US06","Mt San Antonio College","119164",2798.0
2013,"California","04000US06","Mount St Mary's College","119173",807.0
2013,"California","04000US06","Mt San Jacinto Community College District","119216",1924.0
2013,"California","04000US06","Mueller College","119234",134.0
2013,"California","04000US06","Musicians Institute","119270",831.0
2013,"California","04000US06","Napa Valley College","119331",734.0
2013,"California","04000US06","Everest College-San Francisco","119340",216.0
2013,"California","04000US06","Everest College-Reseda","119359",477.0
2013,"California","04000US06","Everest College-LA Wilshire","119368",168.0
2013,"California","04000US06","Everest College-San Jose","119438",241.0
2013,"California","04000US06","Everest College-Gardena","119456",343.0
2013,"California","04000US06","Everest College-Alhambra","119465",442.0
2013,"California","04000US06","Everest College-San Bernardino","119508",455.0
2013,"California","04000US06","The National Hispanic University","119544",136.0
2013,"California","04000US06","National Holistic Institute","119553",685.0
2013,"California","04000US06","National University","119605",4977.0
2013,"California","04000US06","Naval Postgraduate School","119678",2300.0
2013,"California","04000US06","Newschool of Architecture and Design","119775",144.0
2013,"California","04000US06","Newberry School of Beauty","119845",141.0
2013,"California","04000US06","Adrian's College of Beauty Modesto","119951",133.0
2013,"California","04000US06","North-West College-Pomona","120069",178.0
2013,"California","04000US06","North-West College-West Covina","120078",372.0
2013,"California","04000US06","North-West College-Pasadena","120087",125.0
2013,"California","04000US06","Northwestern Polytechnic University","120166",329.0
2013,"California","04000US06","Notre Dame de Namur University","120184",441.0
2013,"California","04000US06","Occidental College","120254",614.0
2013,"California","04000US06","Oceanside College of Beauty","120272",56.0
2013,"California","04000US06","Ohlone College","120290",808.0
2013,"California","04000US06","Orange Coast College","120342",2119.0
2013,"California","04000US06","Otis College of Art and Design","120403",311.0
2013,"California","04000US06","Oxnard College","120421",819.0
2013,"California","04000US06","Hope International University","120537",330.0
2013,"California","04000US06","Concorde Career College-San Diego","120661",627.0
2013,"California","04000US06","Palo Alto University","120698",242.0
2013,"California","04000US06","Pacific Lutheran Theological Seminary","120740",24.0
2013,"California","04000US06","Pacific Oaks College","120768",255.0
2013,"California","04000US06","Pacific School of Religion","120795",44.0
2013,"California","04000US06","Pacific States University","120838",91.0
2013,"California","04000US06","Pacific Union College","120865",368.0
2013,"California","04000US06","University of the Pacific","120883",1942.0
2013,"California","04000US06","Palo Verde College","120953",341.0
2013,"California","04000US06","Palomar College","120971",3308.0
2013,"California","04000US06","Paris Beauty College","121017",95.0
2013,"California","04000US06","Pasadena City College","121044",2256.0
2013,"California","04000US06","Pepperdine University","121150",2622.0
2013,"California","04000US06","Pitzer College","121257",306.0
2013,"California","04000US06","Platt College-San Diego","121275",223.0
2013,"California","04000US06","Point Loma Nazarene University","121309",865.0
2013,"California","04000US06","Pomona College","121345",436.0
2013,"California","04000US06","Porterville College","121363",365.0
2013,"California","04000US06","Westwood College-South Bay","121381",184.0
2013,"California","04000US06","Professional Institute of Beauty","121433",79.0
2013,"California","04000US06","Santa Ana College","121619",3146.0
2013,"California","04000US06","Pardee RAND Graduate School","121628",24.0
2013,"California","04000US06","Shasta School of Cosmetology","121637",46.0
2013,"California","04000US06","University of Redlands","121691",1589.0
2013,"California","04000US06","College of the Redwoods","121707",584.0
2013,"California","04000US06","Salon Success Academy-Upland","121859",147.0
2013,"California","04000US06","Salon Success Academy-Corona","121868",99.0
2013,"California","04000US06","Rio Hondo College","121886",1155.0
2013,"California","04000US06","Riverside City College","121901",2464.0
2013,"California","04000US06","Argosy University-San Francisco Bay Area","121983",182.0
2013,"California","04000US06","Rosemead Beauty School","121992",189.0
2013,"California","04000US06","Dongguk University-Los Angeles","122117",70.0
2013,"California","04000US06","Sacramento City College","122180",2008.0
2013,"California","04000US06","Saddleback College","122205",2921.0
2013,"California","04000US06","Saint Patrick's Seminary and University","122250",21.0
2013,"California","04000US06","Samuel Merritt University","122296",655.0
2013,"California","04000US06","San Diego City College","122339",969.0
2013,"California","04000US06","Golf Academy of America-Carlsbad","122366",144.0
2013,"California","04000US06","San Diego Mesa College","122375",1321.0
2013,"California","04000US06","San Diego Miramar College","122384",1065.0
2013,"California","04000US06","San Diego State University","122409",7978.0
2013,"California","04000US06","University of San Diego","122436",2734.0
2013,"California","04000US06","San Francisco Art Institute","122454",203.0
2013,"California","04000US06","San Francisco Conservatory of Music","122506",142.0
2013,"California","04000US06","San Francisco State University","122597",7883.0
2013,"California","04000US06","San Francisco Theological Seminary","122603",54.0
2013,"California","04000US06","University of San Francisco","122612",2991.0
2013,"California","04000US06","San Joaquin College of Law","122649",52.0
2013,"California","04000US06","San Joaquin Delta College","122658",2943.0
2013,"California","04000US06","San Joaquin Valley College-Visalia","122685",1060.0
2013,"California","04000US06","San Joaquin Valley College-Bakersfield","122694",397.0
2013,"California","04000US06","William Jessup University","122728",270.0
2013,"California","04000US06","San Jose City College","122746",879.0
