"",,,,,,Non-,,Larceny,Larceny,,Motor,,FBI,California
"",Homicide,Rape,Robbery,Aggravated,Residential,residential,Total,over,$400 and,Total,vehicle,Arson,Crime,Crime
"",,,,assault,burglary,,burglary,,,larceny,,,,
"",,,,,,burglary,,$400,under,,theft,,Index,Index
Carlsbad,1,1 4,44,145,207,124,331,540,732,"1,272",128,5,"1,935",663
Chula Vista,7,4 0,214,351,410,203,613,"1,165","1,926","3,091",820,35,"5,136","2,045"
Coronado,0,2,1,14,43,16,59,237,208,445,41,2,562,117
El Cajon,4,2 0,134,169,315,181,496,426,"1,012","1,438",318,8,"2,579","1,141"
Escondido,3,3 5,165,309,298,202,500,671,"1,323","1,994",532,13,"3,538","1,544"
La Mesa,0,1 6,68,124,186,86,272,372,771,"1,143",169,10,"1,792",649
National City,2,1 6,105,144,93,145,238,294,640,934,417,9,"1,856",922
Oceanside,5,5 2,186,409,423,192,615,976,"2,031","3,007",362,34,"4,636","1,629"
San Diego,32,3  7 1,"1,318","3,493","3,320","1,795","5,115","7,470","9,221","16,691","5,006",209,"32,026","15,335"
Sheriff - Total,20,1  6 1,447,"1,804","1,504","1,056","2,560","2,681","4,288","6,969","1,564",63,"13,525","6,556"
Del Mar,0,4,0,14,19,11,30,63,39,102,5,0,155,53
Encinitas,0,1 2,22,70,88,93,181,277,365,642,85,0,"1,012",370
Imperial Beach,0,8,19,85,59,17,76,84,156,240,100,3,528,288
Lemon Grove,1,4,34,86,97,45,142,67,230,297,77,1,641,344
Poway,0,2,13,55,45,53,98,101,205,306,32,3,506,200
San Marcos,2,9,38,147,126,116,242,280,574,854,190,10,"1,482",628
Santee,2,1 1,20,97,52,57,109,166,452,618,67,5,924,306
Solana Beach,0,2,6,14,20,35,55,73,49,122,11,0,210,88
Vista,2,3 1,101,206,144,148,292,391,723,"1,114",280,7,"2,026",912
Unincorporated,13,7 8,194,"1,030",854,481,"1,335","1,179","1,495","2,674",717,34,"6,041","3,367"
4S Ranch,0,1,3,8,19,14,33,35,32,67,7,0,119,52
Alpine,3,5,9,43,46,22,68,78,90,168,39,0,335,167
Fallbrook,2,1 2,21,93,116,114,230,177,220,397,78,0,833,436
Lakeside,0,1 5,20,117,85,60,145,125,210,335,74,0,706,371
Ramona,0,5,4,50,43,22,65,71,100,171,15,0,310,139
Spring Valley,3,1 1,62,144,165,61,226,181,241,422,189,0,"1,057",635
Valley Center,0,6,11,88,51,33,84,91,66,157,43,0,389,232
Other Sheriff,0,6,15,315,4,9,13,19,48,67,18,0,434,367
California Highway Patrol,0,0,0,12,0,0,0,6,6,12,57,0,81,69
California State University San Marcos,0,7,0,1,2,4,6,22,40,62,0,0,76,14
San Diego State University,0,2 0,12,9,35,26,61,165,355,520,19,0,641,121
UC San Diego,0,2,1,1,6,28,34,202,291,493,15,1,546,53
San Diego Harbor Police,0,7,10,53,3,49,52,328,190,518,11,2,651,133
California State Parks,0,0,0,3,1,7,8,17,23,40,1,1,52,12
Total,74,763,"2,705","7,041","6,846","4,114","1 0,960","15,572","23,057","38,629","9,460",392,"69,632","31,003"
